mpi_size,n_points,n_clusters,n_dimensions,execution_time
1,65536,64,8,6.36503
2,65536,64,8,3.69879
4,65536,64,8,25.184
8,65536,64,8,123.602
16,65536,64,8,347.854
32,65536,64,8,577.247
64,65536,64,8,622.577
128,65536,64,8,635.569
256,65536,64,8,633.642
