omp_num_threads,n_points,n_clusters,n_dimensions,execution_time
1,1024,64,8,0.0855968
2,2048,64,8,0.326604
4,4096,64,8,1.27243
8,8192,64,8,3.6682
16,16384,64,8,11.0274
32,32768,64,8,21.9715
64,65536,64,8,55.9473
