omp_num_threads,n_points,n_clusters,n_dimensions,execution_time
1,65536,64,8,34.1109
2,65536,64,8,55.0786
4,65536,64,8,55.1599
8,65536,64,8,55.1204
16,65536,64,8,55.2218
32,65536,64,8,55.3671
64,65536,64,8,55.5974
