mpi_size,n_points,n_clusters,n_dimensions,execution_time
1,65536,64,8,2.60514
2,65536,64,8,1.46355
4,65536,64,8,6.69512
8,65536,64,8,10.8633
16,65536,64,8,13.5566
32,65536,64,8,14.9673
64,65536,64,8,16.9029
128,65536,64,8,25.6341
256,65536,64,8,23.2796
