mpi_size,n_points,n_clusters,n_dimensions,execution_time
1,1024,64,8,0.00750732
2,2048,64,8,0.0125473
4,4096,64,8,0.0458062
8,8192,64,8,0.120798
16,16384,64,8,0.721832
32,32768,64,8,4.43656
64,65536,64,8,25.1112
128,131072,64,8,96.1349
256,262144,64,8,1042.71
