omp_num_threads,n_points,n_clusters,n_dimensions,execution_time
1,65536,64,8,34.8825
2,65536,64,8,54.3621
4,65536,64,8,54.3644
8,65536,64,8,54.462
16,65536,64,8,54.4267
32,65536,64,8,54.4751
64,65536,64,8,68.0913
